Label Directory1 Directory2 Directory3 DirectoryTest SameGramN
TW dev/id10986/XaXt-hdv2Js/2g_s1_00007_6880_7460.wav dev/id10986/eWvntayRfe8/2g_s1_00037_2180_2820.wav dev/id10986/eWvntayRfe8/2g_s1_00044_3120_3880.wav dev/id10986/lFEBeMFuL_M/2g_s89_00055_13960_15020.wav 1_2
IC dev/id10364/20jiP-8kxJQ/3g_s5_00008_1020_2700.wav dev/id10364/5lqSHewVa5A/3g_s5_00004_21480_22300.wav dev/id10364/5lqSHewVa5A/3g_s5_00005_13280_14820.wav dev/id10978/k_Z-KWsBwEY/3g_s5_00009_26580_27460.wav 1_3
TC dev/id10986/XaXt-hdv2Js/2g_s1_00007_6880_7460.wav dev/id10986/lFEBeMFuL_M/2g_s1_00126_3760_4360.wav dev/id10986/tj0Mw2xTE74/2g_s1_00004_1060_1700.wav dev/id10986/xmf3xBGKSoA/2g_s1_00001_0_600.wav 1_2
TW dev/id10986/Gq881M1WnKM/2g_s1_00009_1780_2500.wav dev/id10986/lFEBeMFuL_M/2g_s1_00054_0_540.wav dev/id10986/lFEBeMFuL_M/2g_s1_00086_1200_1620.wav dev/id10986/sOlWHKGy-SY/2g_s26_00105_0_560.wav 1_2
TW dev/id10986/Hyck_yynhF4/2g_s1_00038_9260_10060.wav dev/id10986/lFEBeMFuL_M/2g_s1_00086_1200_1620.wav dev/id10986/xFTIClN5z70/2g_s1_00107_3160_3660.wav dev/id10986/d8H0ZdING7Y/2g_s437_00003_1840_2460.wav 1_2
IW dev/id10986/Hyck_yynhF4/2g_s1_00053_3580_4280.wav dev/id10986/lFEBeMFuL_M/2g_s1_00086_1200_1620.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00045_1620_2340.wav dev/id10515/FX38M4qIjYc/2g_s156_00005_0_780.wav 1_2
TW dev/id10986/GPPBWbOC1FM/2g_s1_00003_1420_2320.wav dev/id10986/KH-yJAsKo1Q/2g_s1_00041_8240_8880.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00071_1620_2180.wav dev/id10986/eWvntayRfe8/3g_s248_00079_0_940.wav 0_2_3
IW dev/id11165/7hQ0Kdh19_0/2g_s1_00014_0_620.wav dev/id11165/7hQ0Kdh19_0/2g_s1_00016_3620_4340.wav dev/id11165/VEG5luYCEHg/2g_s1_00016_8480_9340.wav dev/id10993/sE2Ju0mmX0U/3g_s97_00029_1460_2280.wav 0_2_3
IW dev/id10677/9mw0tq3NGGU/2g_s1_00008_6180_6920.wav dev/id10677/9mw0tq3NGGU/2g_s1_00012_7000_7620.wav dev/id10677/9mw0tq3NGGU/2g_s1_00030_10800_11460.wav dev/id10242/jJoMRL4i7ns/2g_s292_00002_2400_3320.wav 1_2
IW dev/id10986/Hyck_yynhF4/2g_s1_00002_17080_17900.wav dev/id10986/Vzqmi3MAixQ/2g_s1_00110_2000_2780.wav dev/id10986/lFEBeMFuL_M/2g_s1_00091_2700_3200.wav dev/id10425/rWn6vf5orYo/2g_s170_00002_260_1180.wav 1_2
TC dev/id10986/6SBGrr4iFp0/2g_s1_00042_3000_3940.wav dev/id10986/Hyck_yynhF4/2g_s1_00007_4800_5540.wav dev/id10986/Vzqmi3MAixQ/2g_s1_00022_13900_14660.wav dev/id10986/xmf3xBGKSoA/2g_s1_00001_0_600.wav 1_2
TW dev/id10986/lFEBeMFuL_M/2g_s1_00054_0_540.wav dev/id10986/lFEBeMFuL_M/2g_s1_00091_2700_3200.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00067_3680_4520.wav dev/id10986/lFEBeMFuL_M/4g_s81_00064_320_1200.wav 0_2_4
TC dev/id11165/GaKIJFIHef0/2g_s1_00009_14380_15060.wav dev/id11165/VEG5luYCEHg/2g_s1_00007_1800_2560.wav dev/id11165/W7RTvA0yOTQ/2g_s1_00001_16239_16980.wav dev/id11165/cu64DpteRIg/2g_s1_00002_12840_13700.wav 1_2
IC dev/id10362/J5KOtxBWMaw/3g_s5_00001_3180_4100.wav dev/id10362/OOFX5jvzHKs/3g_s5_00001_5820_6580.wav dev/id10362/uPerly0ah9o/3g_s5_00005_0_960.wav dev/id10708/Kl10xf8d8qw/3g_s5_00004_40080_41140.wav 1_3
TW dev/id11165/W7RTvA0yOTQ/2g_s1_00001_16239_16980.wav dev/id11165/ZkGb4cY9iRA/2g_s1_00010_3200_4280.wav dev/id11165/ZkGb4cY9iRA/2g_s1_00010_5980_7220.wav dev/id11165/ZkGb4cY9iRA/2g_s349_00009_9740_11300.wav 1_2
IW dev/id11165/Ad81el_bmPs/2g_s1_00016_8480_9220.wav dev/id11165/W7RTvA0yOTQ/2g_s1_00005_2660_3680.wav dev/id11165/cu64DpteRIg/2g_s1_00002_12840_13700.wav dev/id10782/T1N6NznYM7k/5g_s247_00001_1020_2120.wav 0_2_5
TW dev/id10986/KH-yJAsKo1Q/2g_s1_00025_4400_5240.wav dev/id10986/sOlWHKGy-SY/2g_s1_00060_8340_9000.wav dev/id10986/xFTIClN5z70/2g_s1_00106_4360_5040.wav dev/id10986/eWvntayRfe8/3g_s248_00079_0_940.wav 0_2_3
IC dev/id10986/eWvntayRfe8/3g_s23_00021_5780_6820.wav dev/id10986/sOlWHKGy-SY/3g_s23_00025_5060_5920.wav dev/id10986/tj0Mw2xTE74/3g_s23_00004_860_1700.wav dev/id10095/sh6J3wEmceA/3g_s23_00008_3560_5460.wav 1_3
