Sub3Vox1 ID,VGGFace1 ID,Gender,Nationality,Set
id10175,Corey_Stoll,m,USA,eval1
id10176,Cory_Monteith,m,Canada,eval1
id10177,Costas_Mandylor,m,Australia,eval1
id10178,Cote_de_Pablo,f,USA,eval1
id10179,Cristin_Milioti,f,USA,eval1
id10180,Cyndi_Lauper,f,USA,eval1
id10181,Dakota_Fanning,f,USA,eval1
id10182,Damian_Lewis,m,UK,eval1
id10183,Damon_Lindelof,m,USA,eval1
id10184,Damon_Wayans,m,USA,eval1
id10185,Dan_Aykroyd,m,Canada,eval1
id10186,Dan_Fogler,m,USA,eval1
id10187,Dan_Stevens,m,UK,eval1
id10188,Dana_Delany,f,USA,eval1
id10189,Dane_Cook,m,USA,eval1
id10190,Danica_McKellar,f,USA,eval1
id10191,Daniel_Auteuil,m,Norway,eval1
id10192,Daniel_Craig,m,UK,eval1
id10193,Daniel_Dae_Kim,m,USA,eval1
id10194,Daniel_Tosh,m,USA,eval1
id10195,Danielle_Campbell,f,USA,eval1
id10196,Danielle_Panabaker,f,USA,eval1
id10197,Danny_Dyer,m,UK,eval1
id10198,Danny_McBride,m,USA,eval1
id10199,Danny_Pino,m,USA,eval1
id10200,Darren_Criss,m,USA,eval1
id10201,Dave_Bautista,m,USA,eval1
id10202,Dave_Foley,m,Canada,eval1
id10203,David_Attenborough,m,UK,eval1
id10204,David_Cassidy,m,USA,eval1
id10205,David_Faustino,m,USA,eval1
id10206,David_Giuntoli,m,USA,eval1
id10207,David_Harewood,m,UK,eval1
id10208,David_Henrie,m,USA,eval1
id10209,David_Jason,m,UK,eval1
id10210,David_Koechner,m,USA,eval1
id10211,David_Kross,m,Germany,eval1
id10212,David_Letterman,m,USA,eval1
id10213,David_Lyons,m,Australia,eval1
id10214,David_Mamet,m,USA,eval1
id10215,David_Mazouz,m,Mexico,eval1
id10216,David_Morrissey,m,UK,eval1
id10217,David_Morse,m,USA,eval1
id10218,David_Oyelowo,m,UK,eval1
id10219,David_Schwimmer,m,USA,eval1
id10220,David_Suchet,m,UK,eval1
id10221,David_Tennant,m,UK,eval1
id10222,David_Warner,m,Australia,eval1
id10223,David_Wenham,m,Australia,eval1
id10224,David_Zayas,m,USA,eval1
id10225,Dawn_French,f,UK,eval1
id10226,Dawn_Wells,f,USA,eval1
id10227,Dean_Cain,m,USA,eval1
id10228,Debi_Mazar,f,USA,eval1
id10229,Debra_Jo_Rupp,f,USA,eval1
id10230,Deidre_Hall,f,USA,eval1
id10231,Della_Reese,f,USA,eval1
id10232,Demian_Bichir,m,Mexico,eval1
id10233,Denis_Leary,m,USA,eval1
id10234,Denise_Crosby,f,USA,eval1
id10235,Derek_Jacobi,m,UK,eval1
id10236,Derek_Mears,m,USA,eval1
id10237,Derek_Theler,m,USA,eval1
id10238,Dermot_Mulroney,m,USA,eval1
id10239,Diablo_Cody,f,USA,eval1
id10240,Diane_Keaton,f,USA,eval1
id10241,Diane_Kruger,f,Germany,eval1
id10242,Dick_Van_Dyke,m,USA,eval1
id10243,Diego_Klattenhoff,m,Canada,eval1
id10244,Diego_Luna,m,Mexico,eval1
id10245,Diogo_Morgado,m,Portugal,eval1
id10246,Domhnall_Gleeson,m,Ireland,eval1
id10247,Dominic_Cooper,m,UK,eval1
id10248,Don_Rickles,m,USA,eval1
id10249,Donal_Logue,m,Canada,eval1
id10250,Donald_Glover,m,USA,eval1
id10251,Donald_Sutherland,m,Canada,eval1
id10252,Donna_Mills,f,USA,eval1
id10253,Donna_Murphy,f,USA,eval1
id10254,Donnie_Yen,m,China,eval1
id10255,Dot-Marie_Jones,f,USA,eval1
id10256,Douglas_Booth,m,UK,eval1
id10257,Dougray_Scott,m,UK,eval1
id10258,Doutzen_Kroes,f,Netherlands,eval1
id10259,Dove_Cameron,f,USA,eval1
id10260,Dr._Dre,m,USA,eval1
id10261,Drake_Bell,m,USA,eval1
id10262,Drea_de_Matteo,f,USA,eval1
id10263,Dreama_Walker,f,USA,eval1
id10264,Drew_Carey,m,USA,eval1
id10265,Drew_Roy,m,USA,eval1
id10266,Dustin_Milligan,m,Canada,eval1
id10267,Dyan_Cannon,f,USA,eval1
id10268,Dylan_McDermott,m,USA,eval1
id10269,Dylan_Moran,m,Ireland,eval1
id10270,Eartha_Kitt,f,USA,eval2
id10271,Ed_Westwick,m,UK,eval2
id10272,Eddie_Griffin,m,USA,eval2
id10273,Eddie_Izzard,m,UK,eval2
id10274,Eddie_Kaye_Thomas,m,USA,eval2
id10275,Eddie_McClintock,m,USA,eval2
id10276,Edgar_Wright,m,UK,eval2
id10277,Eduardo_Noriega,m,Spain,eval2
id10278,Edward_Asner,m,USA,eval2
id10279,Efren_Ramirez,m,USA,eval2
id10280,Elaine_Cassidy,f,Ireland,eval2
id10281,Elaine_Hendrix,f,USA,eval2
id10282,Eleanor_Tomlinson,f,UK,eval2
id10283,Eli_Roth,m,USA,eval2
id10284,Eli_Wallach,m,USA,eval2
id10285,Elisabeth_Moss,f,USA,eval2
id10286,Elle_Fanning,f,USA,eval2
id10287,Ellen_Burstyn,f,USA,eval2
id10288,Ellen_Wong,f,Canada,eval2
id10289,Elodie_Yung,f,France,eval2
id10290,Emile_Hirsch,m,USA,eval2
id10291,Emily_Atack,f,UK,eval2
id10292,Emraan_Hashmi,m,India,eval2
id10293,Eoin_Macken,m,Ireland,eval2
id10294,Eric_Braeden,m,USA,eval2
id10295,Eric_Dane,m,USA,eval2
id10296,Eric_McCormack,m,USA,eval2
id10297,Eric_Roberts,m,USA,eval2
id10298,Erik_Estrada,m,USA,eval2
id10299,Erin_Andrews,f,USA,eval2
id10300,Ernest_Borgnine,m,USA,eval2
id10301,Ernie_Hudson,m,USA,eval2
id10302,Esai_Morales,m,USA,eval2
id10303,Estelle_Harris,f,USA,eval2
id10304,Eugene_Levy,m,Canada,eval2
id10305,Eugenio_Derbez,m,Mexico,eval2
id10306,Eva_Green,f,Norway,eval2
id10307,Eva_Longoria,f,USA,eval2
id10308,Evanna_Lynch,f,Ireland,eval2
id10309,Ezra_Miller,m,USA,eval2
id10310,Fanny_Ardant,f,Norway,eval1
id10311,Farrah_Abraham,f,USA,eval1
id10312,Fawad_Khan,m,Pakistan,eval1
id10313,Felicia_Day,f,USA,eval1
id10314,Felicity_Jones,f,UK,eval1
id10315,Fergie,f,USA,eval1
id10316,Finola_Hughes,f,UK,eval1
id10317,Fiona_Shaw,f,Ireland,eval1
id10318,Florence_Henderson,f,USA,eval1
id10319,Forest_Whitaker,m,USA,eval1
id10320,Francia_Raisa,f,USA,eval1
id10321,Fred_Williamson,m,USA,eval1
id10322,Freddie_Highmore,m,UK,eval1
id10323,Freema_Agyeman,f,UK,eval1
id10324,Freida_Pinto,f,India,eval1
id10325,Garrett_Hedlund,m,USA,eval1
id10326,Garry_Marshall,m,USA,eval1
id10327,Gary_Busey,m,USA,eval1
id10328,Gaspard_Ulliel,m,Norway,eval1
id10329,Gates_McFadden,f,USA,eval1
id10330,Geena_Davis,f,USA,eval1
id10331,Gemma_Arterton,f,UK,eval1
id10332,Gemma_Atkinson,f,UK,eval1
id10333,Geri_Halliwell,f,UK,eval1
id10334,Gilles_Marini,m,Norway,eval1
id10335,Gillian_Jacobs,f,USA,eval1
id10336,Gina_Carano,f,USA,eval1
id10337,Ginger_Rogers,f,USA,eval1
id10338,Ginnifer_Goodwin,f,USA,eval1
id10339,Giovanni_Ribisi,m,USA,eval1
id10340,Giuliana_Rancic,f,Italy,eval1
id10341,Glen_Hansard,m,Ireland,eval1
id10342,Glenn_Close,f,USA,eval1
id10343,Gloria_Steinem,f,USA,eval1
id10344,Golshifteh_Farahani,f,Norway,eval1
id10345,Goran_Visnjic,m,Croatia,eval1
id10346,Gordon_Ramsay,m,UK,eval1
id10347,Grant_Bowler,m,Australia,eval1
id10348,Greer_Garson,f,UK,eval1
id10349,Greg_Finley,m,USA,eval1
id10350,Greg_Grunberg,m,USA,eval1
id10351,Gregg_Sulkin,m,UK,eval1
id10352,Greta_Gerwig,f,USA,eval1
id10353,Gugu_Mbatha-Raw,f,UK,eval1
id10354,Guillaume_Canet,m,Norway,eval1
id10355,Guy_Pearce,m,Australia,eval1
id10356,Gwendoline_Christie,f,UK,eval1
id10357,Hailee_Steinfeld,f,USA,eval1
id10358,Hal_Sparks,m,USA,eval1
id10359,Hannah_Simone,f,UK,eval1
id10360,Hannah_Spearritt,f,UK,eval1
id10361,Hans_Zimmer,m,Germany,eval1
id10362,Harry_Connick_Jr.,m,USA,eval1
id10363,Harry_Shum_Jr.,m,USA,eval1
id10364,Harry_Treadaway,m,UK,eval1
id10365,Harvey_Keitel,m,USA,eval1
id10366,Hayley_Marie_Norman,f,USA,eval1
id10367,Heather_Graham,f,USA,eval1
id10368,Hector_Elizondo,m,USA,eval1
id10369,Heidi_Montag,f,USA,eval1
id10370,Heike_Makatsch,f,Germany,eval1
id10371,Helena_Bonham_Carter,f,UK,eval1
id10372,Henry_Cavill,m,UK,eval1
id10373,Hilarie_Burton,f,USA,eval1
id10374,Hilary_Swank,f,USA,eval1
id10375,Hill_Harper,m,USA,eval1
id10376,Holliday_Grainger,f,UK,eval1
id10377,Hope_Solo,f,USA,eval1
id10378,Howie_Mandel,m,Canada,eval1
id10379,Hugh_Bonneville,m,UK,eval1
id10380,Hugh_Dancy,m,UK,eval1
id10381,Hugh_Jackman,m,Australia,eval1
id10382,Hugh_Laurie,m,UK,eval1
id10383,Hunter_Parrish,m,USA,eval1
id10384,Hye-kyo_Song,f,SouthKorea,eval1
id10385,Iain_Glen,m,UK,eval1
id10386,Ian_Somerhalder,m,USA,eval1
id10387,Idina_Menzel,f,USA,eval1
id10388,Imelda_Staunton,f,UK,eval1
id10389,India_de_Beaufort,f,UK,eval1
id10390,Indira_Varma,f,UK,eval1
id10391,Ingrid_Bergman,f,Sweden,eval1
id10392,Irina_Shayk,f,Russia,eval1
id10393,Irrfan_Khan,m,India,eval1
id10394,Isla_Fisher,f,Australia,eval1
id10395,Iwan_Rheon,m,UK,eval1
id10396,Izabella_Scorupco,f,Poland,eval1
id10397,J.J._Abrams,m,USA,eval1
id10398,J.K._Simmons,m,USA,eval1
id10399,Jack_Black,m,USA,eval1
id10400,Jack_Coleman,m,USA,eval1
id10401,Jack_Davenport,m,UK,eval1
id10402,Jack_Griffo,m,USA,eval1
id10403,Jack_Lemmon,m,USA,eval1
id10404,Jack_Reynor,m,USA,eval1
id10405,Jack_Whitehall,m,UK,eval1
id10406,Jacob_Latimore,m,USA,eval1
id10407,Jacqueline_Emerson,f,USA,eval1
id10408,Jacqueline_Fernandez,f,SriLanka,eval1
id10409,Jacqueline_MacInnes_Wood,f,Canada,eval1
id10410,Jai_Courtney,m,Australia,eval1
id10411,Jaime_Winstone,f,UK,eval1
id10412,Jake_Abel,m,USA,eval1
id10413,Jake_Johnson,m,USA,eval1
id10414,Jake_T._Austin,m,USA,eval1
id10415,Jamel_Debbouze,m,Norway,eval1
id10416,James_Badge_Dale,m,USA,eval1
id10417,James_Cosmo,m,UK,eval1
id10418,James_Cromwell,m,USA,eval1
id10419,James_Earl_Jones,m,USA,eval1
id10420,James_Frain,m,UK,eval1
id10421,James_Lafferty,m,USA,eval1
id10422,James_Lipton,m,USA,eval1
id10423,James_Marsden,m,USA,eval1
id10424,James_Maslow,m,USA,eval1
id10425,James_Nesbitt,m,Ireland,eval1
id10426,James_Purefoy,m,UK,eval1
id10427,James_Roday,m,USA,eval1
id10428,James_Woods,m,USA,eval1
id10429,Jamie-Lynn_Sigler,f,USA,eval1
id10430,Jamie_Chung,f,USA,eval1
id10431,Jamie_Foxx,m,USA,eval1
id10432,Jana_Kramer,f,USA,eval1
id10433,Jane_Badler,f,USA,eval1
id10434,Janeane_Garofalo,f,USA,eval1
id10435,Janel_Parrish,f,USA,eval1
id10436,Janet_Jackson,f,USA,eval1
id10437,Janet_McTeer,f,UK,eval1
id10438,Janet_Montgomery,f,UK,eval1
id10439,Janice_Dickinson,f,USA,eval1
id10440,Janina_Gavankar,f,USA,eval1
id10441,Janine_Turner,f,USA,eval1
id10442,January_Jones,f,USA,eval1
id10443,Jared_Harris,m,UK,eval1
id10444,Jared_Leto,m,USA,eval1
id10445,Jasika_Nicole,f,USA,eval1
id10446,Jasmine_Guy,f,USA,eval1
id10447,Jason_Bateman,m,USA,eval1
id10448,Jason_Clarke,m,Australia,eval1
id10449,Jason_David_Frank,m,USA,eval1
id10450,Jason_Dohring,m,USA,eval1
id10451,Jason_Earles,m,USA,eval1
id10452,Jason_Mantzoukas,m,USA,eval1
id10453,Jason_Segel,m,USA,eval1
id10454,Jay_Baruchel,m,Canada,eval1
id10455,Jean-Marc_Barr,m,USA,eval1
id10456,Jean-Paul_Belmondo,m,Norway,eval1
id10457,Jean_Reno,m,Norway,eval1
id10458,Jean_Smart,f,USA,eval1
id10459,Jeanine_Mason,f,USA,eval1
id10460,Jeannie_Mai,f,USA,eval1
id10461,Jeff_Daniels,m,USA,eval1
id10462,Jeff_Garlin,m,USA,eval1
id10463,Jeff_Goldblum,m,USA,eval1
id10464,Jeffrey_Donovan,m,USA,eval1
id10465,Jeffrey_Tambor,m,USA,eval1
id10466,Jeffrey_Wright,m,USA,eval1
id10467,Jemaine_Clement,m,NewZealand,eval1
id10468,Jen_Lilley,f,USA,eval1
id10469,Jenifer_Lewis,f,USA,eval1
id10470,Jenna_Coleman,f,UK,eval1
id10471,Jenna_Fischer,f,USA,eval1
id10472,Jennette_McCurdy,f,USA,eval1
id10473,Jennifer_Beals,f,USA,eval1
id10474,Jennifer_Carpenter,f,USA,eval1
id10475,Jennifer_Coolidge,f,USA,eval1
id10476,Jennifer_Ehle,f,USA,eval1
id10477,Jennifer_Esposito,f,USA,eval1
id10478,Jennifer_Saunders,f,UK,eval1
id10479,Jenny_Slate,f,USA,eval1
id10480,Jensen_Ackles,m,USA,eval1
id10481,Jeremy_Clarkson,m,UK,eval1
id10482,Jeremy_Irons,m,UK,eval1
id10483,Jeremy_Irvine,m,UK,eval1
id10484,Jeremy_Piven,m,USA,eval1
id10485,Jeremy_Renner,m,USA,eval1
id10486,Jeremy_Shada,m,USA,eval1
id10487,Jeremy_Sisto,m,USA,eval1
id10488,Jerry_Ferrara,m,USA,eval1
id10489,Jerry_Trainor,m,USA,eval1
id10490,Jesse_Eisenberg,m,USA,eval1
id10491,Jesse_McCartney,m,USA,eval1
id10492,Jesse_Metcalfe,m,USA,eval1
id10493,Jesse_Spencer,m,Australia,eval1
id10494,Jesse_Williams,m,USA,eval1
id10495,Jessica_De_Gouw,f,Australia,eval1
id10496,Jessica_Lowndes,f,Canada,eval1
id10497,Jessie_J,f,UK,eval1
id10498,Jet_Li,m,Singapore,eval1
id10499,Jill_Scott,f,USA,eval1
id10500,Jillian_Harris,f,Canada,eval1
id10501,Jillian_Michaels,f,USA,eval1
id10502,Jim_Broadbent,m,UK,eval1
id10503,Jim_Caviezel,m,USA,eval1
id10504,Jim_Jefferies,m,USA,eval1
id10505,Jim_Sturgess,m,UK,eval1
id10506,Jimmy_Fallon,m,USA,eval1
id10507,Joan_Allen,f,USA,eval1
id10508,Joan_Chen,f,USA,eval1
id10509,Joan_Cusack,f,USA,eval1
id10510,Joan_Rivers,f,USA,eval1
id10511,Joanna_Krupa,f,Poland,eval1
id10512,Joanna_Lumley,f,UK,eval1
id10513,Joanne_Froggatt,f,UK,eval1
id10514,Joaquim_de_Almeida,m,USA,eval1
id10515,Joe_Flanigan,m,USA,eval1
id10516,Joel_Edgerton,m,Australia,eval1
id10517,Joel_Kinnaman,m,Sweden,eval1
id10518,Joel_McHale,m,USA,eval1
id10519,John_Abraham,m,India,eval1
id10520,John_Amos,m,USA,eval1
id10521,John_Barrowman,m,USA,eval1
id10522,John_Carroll_Lynch,m,USA,eval1
id10523,John_Cho,m,USA,eval1
id10524,John_Cleese,m,UK,eval1
id10525,John_Corbett,m,USA,eval1
id10526,John_DiMaggio,m,USA,eval1
id10527,John_Francis_Daley,m,USA,eval1
id10528,John_Gallagher_Jr.,m,USA,eval1
id10529,John_Goodman,m,USA,eval1
id10530,John_Hawkes,m,USA,eval1
id10531,John_Hodgman,m,USA,eval1
id10532,John_Hurt,m,UK,eval1
id10533,John_Krasinski,m,USA,eval1
id10534,John_Larroquette,m,USA,eval1
id10535,John_Lasseter,m,USA,eval1
id10536,John_Lloyd_Young,m,USA,eval1
id10537,John_Mulaney,m,USA,eval1
id10538,John_Nettles,m,UK,eval1
id10539,John_Noble,m,Australia,eval1
id10540,John_Oliver,m,UK,eval1
id10541,John_Rhys-Davies,m,UK,eval1
id10542,John_Simm,m,UK,eval1
id10543,John_Slattery,m,USA,eval1
id10544,John_Terry,m,UK,eval1
id10545,John_Turturro,m,USA,eval1
id10546,Johnathon_Schaech,m,USA,eval1
id10547,Johnny_Galecki,m,USA,eval1
id10548,Jon_Favreau,m,USA,eval1
id10549,Jon_Huertas,m,USA,eval1
id10550,Jon_Lovitz,m,USA,eval1
id10551,Jon_Pertwee,m,UK,eval1
id10552,Jon_Seda,m,USA,eval1
id10553,Jonathan_Jackson,m,USA,eval1
id10554,Jonathan_Rhys_Meyers,m,Ireland,eval1
id10555,Jordan_Gavaris,m,Canada,eval1
id10556,Jordana_Brewster,f,USA,eval1
id10557,Jordin_Sparks,f,USA,eval1
id10558,Jorge_Garcia,m,Chile,eval1
id10559,Jorja_Fox,f,USA,eval1
id10560,Joseph_Gordon-Levitt,m,USA,eval1
id10561,Josh_Brolin,m,USA,eval1
id10562,Josh_Duhamel,m,USA,eval1
id10563,Josh_Gad,m,USA,eval1
id10564,Josh_Groban,m,USA,eval1
id10565,Josh_Henderson,m,USA,eval1
id10566,Josh_Peck,m,USA,eval1
id10567,Josh_Radnor,m,USA,eval1
id10568,Joss_Stone,f,UK,eval1
id10569,Joss_Whedon,m,USA,eval1
id10570,Judith_Light,f,USA,eval1
id10571,Judy_Sheindlin,f,USA,eval1
id10572,Julia_Louis-Dreyfus,f,USA,eval1
id10573,Julia_Roberts,f,USA,eval1
id10574,Julia_Stiles,f,USA,eval1
id10575,Julian_Sands,m,UK,eval1
id10576,Julianne_Hough,f,USA,eval1
id10577,Julianne_Nicholson,f,USA,eval1
id10578,Julie_Chen,f,USA,eval1
id10579,Julie_Gonzalo,f,USA,eval1
id10580,Julie_Walters,f,UK,eval1
id10581,Justine_Ezarik,f,USA,eval1
id10582,Kal_Penn,m,USA,eval1
id10583,Kangana_Ranaut,f,India,eval1
id10584,Karan_Brar,m,USA,eval1
id10585,Karl_Malden,m,USA,eval1
id10586,Karla_Souza,f,Mexico,eval1
id10587,Karoline_Herfurth,f,Germany,eval1
id10588,Kat_Dennings,f,USA,eval1
id10589,Kate_Beckinsale,f,UK,eval1
id10590,Kate_Flannery,f,USA,eval1
id10591,Kate_Mansi,f,USA,eval1
id10592,Kate_Mara,f,USA,eval1
id10593,Kate_McKinnon,f,USA,eval1
id10594,Kate_Mulgrew,f,USA,eval1
id10595,Kate_Voegele,f,USA,eval1
id10596,Kate_Walsh,f,USA,eval1
id10597,Katee_Sackhoff,f,USA,eval1
id10598,Katey_Sagal,f,USA,eval1
id10599,Katharine_McPhee,f,USA,eval1
id10600,Katherine_Heigl,f,USA,eval1
id10601,Katherine_Jenkins,f,UK,eval1
id10602,Katherine_McNamara,f,USA,eval1
id10603,Katheryn_Winnick,f,Canada,eval1
id10604,Kathie_Lee_Gifford,f,USA,eval1
id10605,Kathleen_Robertson,f,Canada,eval1
id10606,Kathryn_Hahn,f,USA,eval1
id10607,Kathryn_Joosten,f,USA,eval1
id10608,Kathryn_McCormick,f,USA,eval1
id10609,Kathryn_Prescott,f,UK,eval1
id10610,Kathy_Griffin,f,USA,eval1
id10611,Katie_Aselton,f,USA,eval1
id10612,Katie_Cleary,f,USA,eval1
